SiPM 5006  (-489.825,287.675,-22.8)
SiPM 5007  (-489.825,303.225,-22.8)
SiPM 5008  (-474.275,194.375,-22.8)
SiPM 5009  (-474.275,209.925,-22.8)
SiPM 5010  (-474.275,225.475,-22.8)
SiPM 5011  (-474.275,241.025,-22.8)
SiPM 5012  (-474.275,256.575,-22.8)
SiPM 5013  (-474.275,272.125,-22.8)
SiPM 5014  (-474.275,287.675,-22.8)
SiPM 5015  (-474.275,303.225,-22.8)
SiPM 5016  (-458.725,194.375,-22.8)
SiPM 5017  (-458.725,209.925,-22.8)
SiPM 5018  (-458.725,225.475,-22.8)
SiPM 5019  (-458.725,241.025,-22.8)
SiPM 5020  (-458.725,256.575,-22.8)
SiPM 5021  (-458.725,272.125,-22.8)
SiPM 5022  (-458.725,287.675,-22.8)
SiPM 5023  (-458.725,303.225,-22.8)
SiPM 5024  (-443.175,194.375,-22.8)
SiPM 5025  (-443.175,209.925,-22.8)
SiPM 5026  (-443.175,225.475,-22.8)
SiPM 5027  (-443.175,241.025,-22.8)
SiPM 5028  (-443.175,256.575,-22.8)
SiPM 5029  (-443.175,272.125,-22.8)
SiPM 5030  (-443.175,287.675,-22.8)
SiPM 5031  (-443.175,303.225,-22.8)
SiPM 5032  (-427.625,194.375,-22.8)
SiPM 5033  (-427.625,209.925,-22.8)
SiPM 5034  (-427.625,225.475,-22.8)
SiPM 5035  (-427.625,241.025,-22.8)
SiPM 5036  (-427.625,256.575,-22.8)
SiPM 5037  (-427.625,272.125,-22.8)
SiPM 5038  (-427.625,287.675,-22.8)
SiPM 5039  (-427.625,303.225,-22.8)
SiPM 5040  (-412.075,194.375,-22.8)
SiPM 5041  (-412.075,209.925,-22.8)
SiPM 5042  (-412.075,225.475,-22.8)
SiPM 5043  (-412.075,241.025,-22.8)
SiPM 5044  (-412.075,256.575,-22.8)
SiPM 5045  (-412.075,272.125,-22.8)
SiPM 5046  (-412.075,287.675,-22.8)
SiPM 5047  (-412.075,303.225,-22.8)
SiPM 5048  (-396.525,194.375,-22.8)
SiPM 5049  (-396.525,209.925,-22.8)
SiPM 5050  (-396.525,225.475,-22.8)
SiPM 5051  (-396.525,241.025,-22.8)
SiPM 5052  (-396.525,256.575,-22.8)
SiPM 5053  (-396.525,272.125,-22.8)
SiPM 5054  (-396.525,287.675,-22.8)
SiPM 5055  (-396.525,303.225,-22.8)
SiPM 5056  (-380.975,194.375,-22.8)
SiPM 5057  (-380.975,209.925,-22.8)
SiPM 5058  (-380.975,225.475,-22.8)
SiPM 5059  (-380.975,241.025,-22.8)
SiPM 5060  (-380.975,256.575,-22.8)
SiPM 5061  (-380.975,272.125,-22.8)
SiPM 5062  (-380.975,287.675,-22.8)
SiPM 5063  (-380.975,303.225,-22.8)
SiPM 6000  (-365.425,-427.625,-22.8)
SiPM 6001  (-365.425,-412.075,-22.8)
SiPM 6002  (-365.425,-396.525,-22.8)
SiPM 6003  (-365.425,-380.975,-22.8)
SiPM 6004  (-365.425,-365.425,-22.8)
SiPM 6005  (-365.425,-349.875,-22.8)
SiPM 6006  (-365.425,-334.325,-22.8)
SiPM 6007  (-365.425,-318.775,-22.8)
SiPM 6008  (-349.875,-427.625,-22.8)
SiPM 6009  (-349.875,-412.075,-22.8)
SiPM 6010  (-349.875,-396.525,-22.8)
SiPM 6011  (-349.875,-380.975,-22.8)
SiPM 6012  (-349.875,-365.425,-22.8)
SiPM 6013  (-349.875,-349.875,-22.8)
SiPM 6014  (-349.875,-334.325,-22.8)
SiPM 6015  (-349.875,-318.775,-22.8)
SiPM 6016  (-334.325,-427.625,-22.8)
SiPM 6017  (-334.325,-412.075,-22.8)
SiPM 6018  (-334.325,-396.525,-22.8)
SiPM 6019  (-334.325,-380.975,-22.8)
SiPM 6020  (-334.325,-365.425,-22.8)
SiPM 6021  (-334.325,-349.875,-22.8)
SiPM 6022  (-334.325,-334.325,-22.8)
SiPM 6023  (-334.325,-318.775,-22.8)
SiPM 6024  (-318.775,-427.625,-22.8)
SiPM 6025  (-318.775,-412.075,-22.8)
SiPM 6026  (-318.775,-396.525,-22.8)
SiPM 6027  (-318.775,-380.975,-22.8)
SiPM 6028  (-318.775,-365.425,-22.8)
SiPM 6029  (-318.775,-349.875,-22.8)
SiPM 6030  (-318.775,-334.325,-22.8)
SiPM 6031  (-318.775,-318.775,-22.8)
SiPM 6032  (-303.225,-427.625,-22.8)
SiPM 6033  (-303.225,-412.075,-22.8)
SiPM 6034  (-303.225,-396.525,-22.8)
SiPM 6035  (-303.225,-380.975,-22.8)
SiPM 6036  (-303.225,-365.425,-22.8)
SiPM 6037  (-303.225,-349.875,-22.8)
SiPM 6038  (-303.225,-334.325,-22.8)
SiPM 6039  (-303.225,-318.775,-22.8)
SiPM 6040  (-287.675,-427.625,-22.8)
SiPM 6041  (-287.675,-412.075,-22.8)
SiPM 6042  (-287.675,-396.525,-22.8)
SiPM 6043  (-287.675,-380.975,-22.8)
SiPM 6044  (-287.675,-365.425,-22.8)
SiPM 6045  (-287.675,-349.875,-22.8)
SiPM 6046  (-287.675,-334.325,-22.8)
SiPM 6047  (-287.675,-318.775,-22.8)
SiPM 6048  (-272.125,-427.625,-22.8)
SiPM 6049  (-272.125,-412.075,-22.8)
SiPM 6050  (-272.125,-396.525,-22.8)
SiPM 6051  (-272.125,-380.975,-22.8)
SiPM 6052  (-272.125,-365.425,-22.8)
SiPM 6053  (-272.125,-349.875,-22.8)
SiPM 6054  (-272.125,-334.325,-22.8)
SiPM 6055  (-272.125,-318.775,-22.8)
SiPM 6056  (-256.575,-427.625,-22.8)
SiPM 6057  (-256.575,-412.075,-22.8)
SiPM 6058  (-256.575,-396.525,-22.8)
SiPM 6059  (-256.575,-380.975,-22.8)
SiPM 6060  (-256.575,-365.425,-22.8)
SiPM 6061  (-256.575,-349.875,-22.8)
SiPM 6062  (-256.575,-334.325,-22.8)
SiPM 6063  (-256.575,-318.775,-22.8)
SiPM 7000  (-365.425,-303.225,-22.8)
SiPM 7001  (-365.425,-287.675,-22.8)
SiPM 7002  (-365.425,-272.125,-22.8)
SiPM 7003  (-365.425,-256.575,-22.8)
SiPM 7004  (-365.425,-241.025,-22.8)
SiPM 7005  (-365.425,-225.475,-22.8)
SiPM 7006  (-365.425,-209.925,-22.8)
SiPM 7007  (-365.425,-194.375,-22.8)
SiPM 7008  (-349.875,-303.225,-22.8)
SiPM 7009  (-349.875,-287.675,-22.8)
SiPM 7010  (-349.875,-272.125,-22.8)
SiPM 7011  (-349.875,-256.575,-22.8)
SiPM 7012  (-349.875,-241.025,-22.8)
SiPM 7013  (-349.875,-225.475,-22.8)
SiPM 7014  (-349.875,-209.925,-22.8)
SiPM 7015  (-349.875,-194.375,-22.8)
SiPM 7016  (-334.325,-303.225,-22.8)
SiPM 7017  (-334.325,-287.675,-22.8)
SiPM 7018  (-334.325,-272.125,-22.8)
SiPM 7019  (-334.325,-256.575,-22.8)
SiPM 7020  (-334.325,-241.025,-22.8)
SiPM 7021  (-334.325,-225.475,-22.8)
SiPM 7022  (-334.325,-209.925,-22.8)
SiPM 7023  (-334.325,-194.375,-22.8)
SiPM 7024  (-318.775,-303.225,-22.8)
SiPM 7025  (-318.775,-287.675,-22.8)
SiPM 7026  (-318.775,-272.125,-22.8)
SiPM 7027  (-318.775,-256.575,-22.8)
SiPM 7028  (-318.775,-241.025,-22.8)
SiPM 7029  (-318.775,-225.475,-22.8)
SiPM 7030  (-318.775,-209.925,-22.8)
SiPM 7031  (-318.775,-194.375,-22.8)
SiPM 7032  (-303.225,-303.225,-22.8)
SiPM 7033  (-303.225,-287.675,-22.8)
SiPM 7034  (-303.225,-272.125,-22.8)
SiPM 7035  (-303.225,-256.575,-22.8)
